0,1,2,3,4,5,6,7,8,9,10,11,12
,Contrôle de l’acuité visuelle,,,,,,Visite médicale systématique,,,,,
Région,Urbain,,Rural,,Ensemble,,Urbain,,Rural,,Ensemble,
Province/préfecture,"Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée","Population
cible","Population
contrôlée"
,,,,,,,,,,,,
Al Hoceima,6 109,5 102,5 709,4 461,11 818,9 563,6 109,6 469,5 709,5 332,11 818,11 801
Chefchaouen,2 600,1 923,16 429,12 200,19 029,14 123,2 600,2 145,16 429,13 388,19 029,15 533
Fahs-Anjra,,,8 244,5 216,8 244,5 216,,,8 244,7 137,8 244,7 137
Larache,13 171,1 893,13 222,1 892,26 393,3 785,13 171,9 048,13 222,9 704,26 393,18 752
Ouezzane,2 845,3 086,12 858,6 170,15 703,9 256,2 845,2 957,12 858,12 756,15 703,15 713
Tanger-Assilah,51 634,25 804,5 594,2 831,57 228,28 635,51 634,25 858,5 594,2 831,57 228,28 689
Tétouan,15 808,14 644,9 115,4 547,24 923,19 191,15 808,15 530,9 115,5 947,24 923,21 477
M'Diq-Fnideq,12 656,11 388,826,753,13 482,12 141,12 656,11 388,826,753,13 482,12 141
Tanger -Tétouan- Al Hoceima,104 823,63 840,71 997,38 070,176 820,101 910,104 823,73 395,71 997,57 848,176 820,131 243
Berkane,10 788,8 600,6 707,3 400,17 495,12 000,10 788,9 601,6 707,3 867,17 495,13 468
Driouch,3 967,0,7 706,0,11 673,0,3 967,2 951,7 706,6 510,11 673,9 461
Figuig,4 539,113,5 286,384,9 825,497,4 539,4 162,5 286,3 928,9 825,8 090
Guercif,6 428,4 632,8 371,2 842,14 799,7 474,6 428,5 003,8 371,4 243,14 799,9 246
Jerada,4 566,4 392,2 563,2 255,7 129,6 647,4 566,4 395,2 563,2 265,7 129,6 660
Nador,22 734,0,11 071,0,33 805,0,22 734,16 295,11 071,8 306,33 805,24 601
Oujda-Angad,23 948,17 666,2 068,1 112,26 016,18 778,23 948,23 369,2 068,1 658,26 016,25 027
Taourirt,10 374,0,4 130,0,14 504,0,10 374,6 445,4 130,1 868,14 504,8 313
Oriental,87 344,35 403,47 902,9 993,135 246,45 396,87 344,72 221,47 902,32 645,135 246,104 866
Meknès,25 021,17 538,11 744,7 038,36 765,24 576,25 021,23 384,11 744,9 775,36 765,33 159
Boulemane,4 681,865,7 733,984,12 414,1 849,4 681,4 184,7 733,5 756,12 414,9 940
El Hajeb,7 948,5 161,7 796,6 051,15 744,11 212,7 948,7 288,7 796,6 974,15 744,14 262
Fès,49 203,47 962,3 828,3 535,53 031,51 497,49 203,47 962,3 828,3 535,53 031,51 497
Ifrane,3 953,3 916,5 164,5 028,9 117,8 944,3 953,3 916,5 164,5 028,9 117,8 944
Sefrou,6 426,6 302,7 336,6 953,13 762,13 255,6 426,6 302,7 336,6 953,13 762,13 255
Taounate,8 873,1 662,33 563,3 583,42 436,5 245,8 873,5 963,33 563,8 065,42 436,14 028
Taza,11 758,11 368,18 947,17 814,30 705,29 182,11 758,11 368,18 947,17 814,30 705,29 182
Moulay Yacoub,4 980,3 737,7 393,5 762,12 373,9 499,4 980,3 753,7 393,5 721,12 373,9 474
Fès - Meknès,122 843,98 511,103 504,56 748,226 347,155 259,122 843,114 120,103 504,69 621,226 347,183 741
Kénitra,29 692,0,42 847,0,72 539,0,29 692,19 944,42 847,9 773,72 539,29 717
Khémisset,13 596,13 484,13 512,12 900,27 108,26 384,13 596,13 484,13 512,12 900,27 108,26 384
Rabat,11 507,11 533,,,11 507,11 533,11 507,11 512,,,11 507,11 512
Salé,28 848,14 630,3 619,3 607,32 467,18 237,28 848,23 649,3 619,3 611,32 467,27 260
Sidi Kacem,11 297,0,33 313,0,44 610,0,11 297,2 853,33 313,6 614,44 610,9 467
Sidi Slimane,9 099,8 672,17 981,11 465,27 080,20 137,9 099,9 518,17 981,12 319,27 080,21 837
Skhirate- Témara,22 078,20 247,4 758,4 686,26 836,24 933,22 078,20 247,4 758,4 686,26 836,24 933
Rabat - Salé-Kénitra,126 117,68 566,116 030,32 658,242 147,101 224,126 117,101 207,116 030,49 903,242 147,151 110
Azilal,6 501,3 683,30 926,19 018,37 427,22 701,6 501,4 531,30 926,21 365,37 427,25 896
Béni Mellal,13 116,11 400,15 935,13 220,29 051,24 620,13 116,12 592,15 935,14 790,29 051,27 382
Fquih Ben Salah,9 459,5 230,16 361,6 210,25 820,11 440,9 459,8 503,16 361,8 718,25 820,17 221
Khénifra,10 232,5 488,11 512,2 065,21 744,7 553,10 232,8 082,11 512,6 380,21 744,14 462
Khouribga,14 710,8 600,7 359,2 937,22 069,11 537,14 710,11 580,7 359,4 810,22 069,16 390
Béni Mellal- Khénifra,54 018,34 401,82 093,43 450,136 111,77 851,54 018,45 288,82 093,56 063,136 111,101 351
Benslimane,5 677,4 509,6 740,4 552,12 417,9 061,5 677,4 747,6 740,5 298,12 417,10 045
Berrechid,15 488,14 921,9 284,8 931,24 772,23 852,15 488,14 921,9 284,8 931,24 772,23 852
El Jadida,10 585,9 323,29 930,20 724,40 515,30 047,10 585,9 323,29 930,20 724,40 515,30 047
Médiouna,9 265,9 367,9 150,4 372,18 415,13 739,9 265,9 410,9 150,4 374,18 415,13 784
Mohammadia,16 115,9 800,980,902,17 095,10 702,16 115,14 199,980,987,17 095,15 186
Nouaceur,21 156,20 815,,,21 156,20 815,21 156,20 815,,,21 156,20 815
Settat,15 274,14 173,28 693,25 214,43 967,39 387,15 274,13 987,28 693,23 367,43 967,37 354
Sidi Bennour,5 171,3 053,21 280,9 270,26 451,12 323,5 171,3 053,21 280,9 108,26 451,12 161
Casablanca Anfa,5 532,3 500,,,5 532,3 500,5 532,5 049,,,5 532,5 049
Al Fida-Mers Sultan,5 826,5 826,,,5 826,5 826,5 826,5 578,,,5 826,5 578
Aîn-Sebaâ - Hay Mohammadi,7 988,0,,,7 988,0,7 988,7 971,,,7 988,7 971
Hay Hassani,10 620,0,,,10 620,0,10 620,10 823,,,10 620,10 823
Aîn-Chock,8 325,2 016,,,8 325,2 016,8 325,8 216,,,8 325,8 216
Sidi Bernoussi,22 413,14 652,,,22 413,14 652,22 413,20 204,,,22 413,20 204
Ben Msick,6 885,5 573,,,6 885,5 573,6 885,6 485,,,6 885,6 485
